"763","TOMKINS (TOMPKINS) GENEALOGY                                ","ROBERT/CLARA TOMPKINS    ","1942","C952             "
"765","HISTORY OF CENTRAL WASHINGTON (STATE)                       ","LINDLEY M HALL           ","1929","D068             "
"764","RITCHIE COUNTY WV MARRIAGES 1843-1915                       ","WES COCHRAN              ","1985",
"766","CENTENNIAL COLLECTIONS OF MORRIS CO NJ 1776-1878            ",,,"D138             "
"767","NEWS-PRESS - FT MYERS FL & CAPE CORAL/FL                    ","NEWSPAPER                ",,
"768","LISTS OF IMMIGRANTS TO AMERICA 1600-1700                    ","JOHN C HOTTEN            ","1962",
"769","DOING RESEARCH ON BUNNELL                                   ","BETTY A BROOK            ","1986",
"770","WASHINGTON DC & GEORGETOWN CITY DIR                         ","BOYD                     ",,
"771","NEWARK DAILY ADVOCATE-NJ                                    ","NEWSPAPER                ",,
"772","BUNNELL/BONNELL FAMILY IN AMERICA                           ","WM R AUSTIN              ","1999","D238             "
"773","IL STATE GENEALOGICAL SOCIETY QUARTERLY                     ",,,
"774","DEMOCRATIC REPUBLICAN - VENANGO/PA                          ","NEWSPAPER                ",,
"775","NEWS TRIBUNE - TACOMA/WA                                    ","NEWSPAPER                ",,
"776","HISTORY OF SOMERSET CO NJ                                   ","JAMES SNELL              ",,
"777","FREE LANCE - FREDERICKSBURG - VA                            ","NEWSPAPER                ",,
"778","OAKLAND PRESS - PONTIAC/MI                                  ","NEWSPAPER                ",,
"779","SUSQUEHANNAH CO TRANSCRIPT - PA                             ","NEWSPAPER                ",,
"780","HERALD-PALLADIUM - BENTON HARBOR/MI                         ","NEWSPAPER                ",,
"781","E UNION LEADER - MANCHESTER/NH                              ","NEWSPAPER                ",,
"782","ST LOUIS GLOBE-DEMOCRAT - MO                                ","NEWSPAPER                ",,
"784","SULLIVAN CO DEMOCRAT - NY                                   ","NEWSPAPER                ",,
"785","TIMES HERALD RECORD, THE - MIDDLETOWN/NY                    ","NEWSPAPER                ",,
"786","A STORY OF RED LION OH (WARREN CO)                          ","WARREN CO HIST SOC       ",,
