"01057","WV033","W MILFORD      ","W MILFORD CM            "
"01058","WV033","HEPZIBAH       ","BAPT CH CM              "
"01059","WV033","CLARKSBURG     ","SUNSET MEMORIAL GDNS    "
"01060","WV017","ASHLEY         ","UNDERWOOD CM            "
"01061","WV103","SMITHFIELD     ","MORGAN CM               "
"01062","GA075",,"DUNCAN WILKES CM        "
"01063","MI055","FIFE LAKE      ","FIFE LAKE UNION TWP CM  "
"01064","MA027","LEOMINSTER     ","ST CECELIA CM           "
"01065","AR089","OAKLAND        ",
"01066","PA127","LAKEVILLE      ",
"01067","NY063","WRIGHTS CORNER ","WRIGHTS CM              "
"01068","NY093","SCHENECTADY    ","VALE CM                 "
"01069","NY011","AUBURN         ","FORTHILL CM             "
"01070","OH147","FOSTORIA       ","FOUNTAIN CM             "
"01071","OH029","E PALESTINE    ","OLD E PALESTINE CM      "
"01072","KS117","FRANKFORT      ","FRANKFORT CM            "
"01073","IA107","VAN BUREN TWP  ","JOHNSON CM              "
"01074","NY107","WAVERLY        ","FOREST HOME CM          "
"01075","NY047","BROOKLYN       ","EVERGREEN CM            "
"01076","NJ027","DOVER          ","ORCHARD STREET CM       "
"01077","OH167","OAK GROVE      ","OAK GROVE CM            "
"01078","NY103","SAG HARBOR     ","SAG HARBOR CM           "
"01079","WI103","RICHLAND CENTER","RICHLAND CENTER CM      "
"01080","OH083","MILLER TWP     ","BRANDON CM              "
"01081","IL089","ELGIN          ","BLUFF CITY CM           "
"01082","NY051","DANSVILLE      ","GREENMOUNT CM           "
"01083","NJ027","MT FREEDOM     ","M E CH CM               "
"01084","PA081","WHITE PINE     ","SUMMIT CM               "
"01085","PA081","McHENRY TWP    ","BONNELL CM              "
"01086","OH017","MONROE         ","MOUND CM                "
"01087","NY067","SYRACUSE       ","OAKWOOD CM              "
"01088","OR051","PORTLAND       ","ROSE CITY PARK          "
"01089","IL063",,"WARD CEM                "
"01090","IA123","MITCHELLVILLE  ","MITCHELLVILLE CM        "
"01091","IL193","EPWORTH        ","BIG PRAIRIE CM          "
"01092","IA153","DES MOINES     ","GLENDALE CM             "
"01093","MN105","DETROIT        ","OAK GROVE CM            "
"01225","WI039","GREEN LAKE     ","DARTFORD CM             "
"01095","KY111","LOUISVILLE     ","CAVE HILL CM            "
"01096","NY083","TROY           ","OAKWOOD CM              "
"01097","MT009","BRIDGER        ","BRIDGER CM              "
"01098","RI007","PROVIDENCE     ","LOCUST GROVE CM         "
"01099","MO009","CASSVILLE      ","OAK HILL CM             "
"01100","MO153","DUGGINSVILLE   ","HART CM                 "
"01101","MN037","ROSEMOUNT      ","ST JOSEPH CATH CH CM    "
"01102","MO145","NEOSHO         ","IOOF CM                 "
"00001","NY003","SCIO           ","SCIO                    "
"00002","NY003","BELMONT        ","FOREST HILLS CM         "
"00003","PA105","RAYMOND        ","RAYMOND CORNERS         "
"00004","NY003","ALFRED         ","ALFRED RURAL CM         "
"00005","AR143","LINCOLN        ","BEATY CM                "
"00006","PA105","ULYSSES        ","ULYSSES                 "
"00007","NY107","NEWARK VALLEY  ","W.NEWARK CHYD           "
"00008","PA089","COOLBAUGH      ","MID.SMFLD.PRESB         "
"00009","PA127","HONESDALE      ","GLEN DYBERRY            "
"00010","NJ037","WALPACK        ","OLD WALPACK CH.         "
"00011","NJ039","UNION          ","CT FARMS PRSB CH CM     "
"00012","PA103","LACKAWAXEN     ","MINISINK LODGE          "
"00013","NJ019","CLINTON        ","GRANDIN CM              "
"00014","MA003","HINSDALE       ","ST PATRICKS CM          "
"00015","CNPEI","CHARLOTTETOWN  ","PEOPLES CM              "
"00016","NJ019","FLEMINGTON     ","PRESBY CHYD             "
"00017","PA017","RIEGELSVILLE   ","UNION CM                "
"00018","MA023","SCITUATE       ","UNION CM                "
"00019","ID029","GRACE          ","GRACE CM                "
"00020","MA027","WEST BOYLSTON  ","MT VERNON CM            "
"00021","NJ019","GLEN GARDNER   ","SPRUCE RUN LUTH         "
"00022","MA017","FRAMINGHAM     ","EDWARDS CM              "
"00023","MA017","MEDFORD        ","OAK GROVE CM            "
"00024","IN115","RISING SUN     ","CEDAR HEDGE CM          "
"00025","PA049","NORTH EAST     ","NORTH EAST CM           "
"00026","OH061","CINCINNATI     ","PLEASANT RIDGE          "
"00027","NJ027","MADISON        ","HILLSIDE CM             "
"00028","NY099","WATERLOO       ","FRIENDS MEETING         "
"00029","MO189","MEHLVILLE      ","OAK GROVE CM            "
"00030","MA025","BOSTON         ","MT HOPE CM              "
"00031","MA017","BRAINTREE      ","BLUE HILL CM            "
"00032","NJ027","MORRISTOWN     ","FIRST PRESBY CH         "
"00033","PA091","WHITEMARSH     ","ST THOMAS EPISC         "
"00034","CT007","ESSEX          ","RIVER VIEW CM           "
"00035","OH005","NANKIN         ","ORANGE CM               "
"00036","MA017","EVERETT        ","WOODLAWN CM             "
"00037","MA009","HAVERHILL      ","LINWOOD CM              "
"00038","MA009","HAVERHILL      ","ST PATRICKS             "
"00039","PA101","PHILADELPHIA   ","LAUREL HILL CM          "
"00040","OH061","HARRISON       ","PARK CM                 "
"00041","MA017","LEXINGTON      ","WESTVIEW CM             "
"00042","NJ029","LACEY TWP      ","GOOD LUCK CM            "
"00043","NJ013","NEWARK         ","FIRST PRESBY CH         "
"00044","IN165","NEWPORT        ","NEWPORT CM              "
"00045","NJ027","MENDHAM        ","HILL TOP CM             "
"00046","CT003","HARTFORD       ","ZION HILL CM            "
"00047","NJ025","ALLENTOWN      ","PRESBY CHYD             "
"00048","NJ013","ORANGE         ","OLD PRESB BURYING GRD   "
"00049","FR   ","SOMME          ","SOMME AMERICAN CM       "
"00050","MA025","HYDE PARK      ","FAIRVIEW CM             "
"00051","MA021","STUGHTON       ","EVERGREEN CM            "
"00052","MA017","WOBURN         ","WOODBROOK CM            "
"00053","CT001","GREENWICH      ","PUTNAM CM               "
"00054","NJ035","SOMERVILLE     ","RARITAN CM              "
"00055","NJ021","PRINCETON      ","BAPTIST CHYD            "
"00056","PA101","PHILADELPHIA   ","ST MARYS RCC CM         "
"00057","NJ037","MONTAGUE       ","DUTCH REF CHYD          "
"00058","MA009","HAVERHILL      ","GREENWOOD CM            "
"00059","CT003","WINDSOR        ","WINDSOR                 "
"00060","OH005",,"GREEN LAWN CM           "
"00061","NJ039","SCOTCH PLAINS  ","BAPTIST CHYD            "
"00062","MA009","PEABODY        ","PURITAN LAWN CM         "
"00063","MA025","BOSTON         ","FOREST HILLS CM         "
"00064","CT009","NEW HAVEN      ","EVERGREEN CM            "
"00065","MA005","FREETOWN       ","ASSONET CM              "
"00066","MA017","LITTLETON      ","WESTLAWN CM             "
"00067","CT009","MERIDEN        ","WALNUT GROVE CM         "
"00068","CT001","STRATFORD      ","ST MICHAELS CM          "
"00069","VA650","HAMPTON        ","NATIONAL CM             "
"00070","MA017","LOWELL         ","LOWELL                  "
"00071","MA017","CAMBRIDGE      ","CAMBRIDGE CM            "
"00072","NY119","RYE            ","ST MARYS                "
"00073","CT003","BLOOMFIELD     ","MT ST BENDICT           "
"00074","CNNB ","               ","BURNT CHURCH CM         "
"00075","IN155","POSEY TWP      ","BONNELL FARM CM         "
"00076","NJ041","BELVIDERE      ","NEW CM                  "
"00077","MA009","HAVERHILL      ","HILLDALE CM             "
"00078","NJ019","LEBANON        ","METHODIST CHYD          "
"00079","NJ013","NEWARK         ","FAIRMOUNT CM            "
"01323","FL005","LYNN HAVEN     ","LYNN HAVEN CM           "
"00081","MA001","ORLEANS        ","ORLEANS CM              "
"00082","MA017","WALTHAM        ","CALVARY CM              "
"00083","MA001","KINGSTON       ","EVERGREEN CM            "
"00084","CNNB ","ST STEPHEN     ","ST STEPHEN              "
"00085","MA009","NEWBURYPORT    ","ST MARYS CM             "
"00086","MA017","SOMERVILLE     ","SOMERVILLE CM           "
"00087","NJ039","SPRINGFIELD    ","TOWN CM                 "
"00088","PA101","PHILADELPHIA   ","MACHPELAH CM            "
"00089","OH005","JEROMESVILLE   ","JEROMESVILLE CM         "
"00090","CT003","BRISTOL        ","WEST CM                 "
"00091","CT001","NICHOLS        ","NICHOLS CM              "
"00092","MA021","QUINCY         ","MT WOLLASTON CM         "
"00093","NJ009","TUCKAHOE       ","BAPTIST CHYD            "
"00094","OH059","WINTERSET      ","WINTERSET               "
"00095","NJ039","SPRINGFIELD    ","PRESBY CHYD             "
"00096","IRDUB","DUBLIN         ","ST JOHNS CHURCH         "
"00097","MO095","KANSAS CITY    ","ELMWOOD CM              "
