"AK","ALASKA","USA"
"AL","ALABAMA","USA"
"AR","ARKANSAS","USA"
"AZ","ARIZONA","USA"
"CA","CALIFORNIA","USA"
"CO","COLORADO","USA"
"CT","CONNECTICUT","USA"
"DC","DISTRICT OF COLUMBIA","USA"
"DE","DELAWARE","USA"
"FL","FLORIDA","USA"
"GA","GEORGIA","USA"
"HI","HAWAII","USA"
"IA","IOWA","USA"
"ID","IDAHO","USA"
"IL","ILLINOIS","USA"
"IN","INDIANA","USA"
"KS","KANSAS","USA"
"KY","KENTUCKY","USA"
"LA","LOUISIANA","USA"
"MA","MASSACHUSSETTS","USA"
"MD","MARYLAND","USA"
"ME","MAINE","USA"
"MI","MICHIGAN","USA"
"MN","MINNESOTA","USA"
"MO","MISSOURI","USA"
"MS","MISSISSIPPI","USA"
"MT","MONTANA","USA"
"NC","NORTH CAROLINA","USA"
"ND","NORTH DAKOTA","USA"
"NE","NEBRASKA","USA"
"NH","NEW HAMPSHIRE","USA"
"NJ","NEW JERSEY","USA"
"NM","NEW MEXICO","USA"
"NV","NEVADA","USA"
"NY","NEW YORK","USA"
"OH","OHIO","USA"
"OK","OKLAHOMA","USA"
"OR","OREGON","USA"
"PA","PENNSYLVANIA","USA"
"RI","RHODE ISLAND","USA"
"SC","SOUTH CAROLINA","USA"
"SD","SOUTH DAKOTA","USA"
"TN","TENNESSEE","USA"
"TX","TEXAS","USA"
"UT","UTAH","USA"
"VA","VIRGINIA","USA"
"VT","VERMONT","USA"
"WA","WASHINGTON","USA"
"WI","WISCONSIN","USA"
"WV","WEST VIRGINIA","USA"
"WY","WYOMING","USA"
"CN","CANADA","CANADA"
"EN","ENGLAND","ENGLAND"
"FR","FRANCE","FRANCE"
"GM","GERMANY","GERMANY"
"IR","IRELAND","IRELAND"
"ST","SCOTLAND","SCOTLAND"
"WL","WALES","WALES"
